rank,name,lat,lon,category,category_name,review_count,review_rating,thumbnail,address
1,홍성마라미방 성균관대2호점,37.29854965209961,126.96956634521484,category_chinese,중국요리,6,3.83,http://t1.daumcdn.net/local/kakaomapPhoto/review/bfaace4cb20d4ff60fcbc107d5f4ec63e9feadf0?original,경기도 수원시 장안구 율전동
2,정원,37.29860305786133,126.96931457519531,category_chinese,중국요리,27,4.44,http://t1.kakaocdn.net/mystore/4663DE94511648C8A1BE13F30BEB6B97,경기도 수원시 장안구 율전동
3,대성장,37.30332565307617,126.9703598022461,category_chinese,중국요리,21,4.23,http://t1.daumcdn.net/place/073B819209054347A6542135153BC281,경기도 수원시 장안구 율전동
4,명가양꼬치,37.29677963256836,126.96918487548828,category_chinese,양꼬치,24,4.0,http://t1.daumcdn.net/place/3637DBAD4B6B47168B13C8294C81278E,경기도 수원시 장안구 율전동
5,양지촌,37.2984733581543,126.97232055664062,category_chinese,양꼬치,11,4.54,http://t1.daumcdn.net/place/5EB3AC21CB7C41CE9B3D68534FC0BE99,경기도 수원시 장안구 율전동
6,화원루,37.29798126220703,126.9729232788086,category_chinese,중국요리,23,3.04,http://t1.daumcdn.net/place/6CA805261B3E465BB79BC681CE583432,경기도 수원시 장안구 율전동
7,태화루,37.30319595336914,126.97010803222656,category_chinese,중국요리,18,3.33,http://t1.daumcdn.net/place/601F950221264EFDAD2E8A9AF6207DC3,경기도 수원시 장안구 율전동
8,중경마라탕,37.29673385620117,126.97129821777344,category_chinese,중국요리,26,4.15,http://t1.daumcdn.net/place/D828E1B2FCBE4811BA74E7D728511150,경기도 수원시 장안구 율전동
