rank,name,lat,lon,category_name,review_count,review_rating,thumbnail,address
34,모범닭발&오돌뼈 성대점,37.298675537109375,126.97347259521484,닭요리,2.0,5.0,http://t1.daumcdn.net/place/EE24671B6E554F47BAC037A5E0C92FDF,경기도 수원시 장안구 율전동
35,따숲닭 본점,37.29806900024414,126.97042846679688,치킨,3.0,3.66,http://t1.kakaocdn.net/fiy_reboot/place/ADF2E759B35242368800CA9CF042EBAE,경기도 수원시 장안구 율전동
36,이층식당,37.2979850769043,126.97323608398438,한식,5.0,5.0,http://t1.daumcdn.net/place/664D6DE8547140A593ADAAD423812F06,경기도 수원시 장안구 율전동
37,싸가정곱창 담윤순대국,37.29799270629883,126.97303009033203,순대,9.0,3.77,http://t1.kakaocdn.net/fiy_reboot/place/A17D682C734A4EBC9715FDFED16B6379,경기도 수원시 장안구 율전동
38,피자헐,37.298583984375,126.96878814697266,음식점,6.0,5.0,,경기도 수원시 장안구 율전동
39,플렁드,37.29758071899414,126.96846771240234,"제과,베이커리",43.0,4.27,http://t1.daumcdn.net/place/96467E56CC8043B0AAB391D451106705,경기도 수원시 장안구 율전동
40,청년밥상,37.29863357543945,126.97274017333984,한식,44.0,3.43,http://t1.kakaocdn.net/fiy_reboot/place/222CAF9577C44BD385975812F5A89592,경기도 수원시 장안구 율전동
41,오르카커피룸,37.29973602294922,126.97071075439453,커피전문점,32.0,4.71,http://t1.kakaocdn.net/mystore/CEFC2FAAF85240A3B3C1A95A264EFA80,경기도 수원시 장안구 율전동
42,정원,37.29860305786133,126.96931457519531,중국요리,23.0,4.34,http://t1.kakaocdn.net/mystore/4663DE94511648C8A1BE13F30BEB6B97,경기도 수원시 장안구 율전동
43,르디망슈,37.29889678955078,126.9687271118164,디저트카페,24.0,4.33,http://t1.kakaocdn.net/mystore/14A321EEC8EB45BFB1ED121F3028F3D2,경기도 수원시 장안구 율전동
44,자명문,37.299259185791016,126.96996307373047,카페,38.0,4.52,http://t1.daumcdn.net/place/4E44E7B37C3B4695AC6B1F8955EA178D,경기도 수원시 장안구 율전동
45,에스쿱,37.30247116088867,126.9720458984375,이탈리안,13.0,4.84,http://t1.daumcdn.net/place/7787515A0B3A466F914127004CCBAE78,경기도 수원시 장안구 율전동
46,벨라튀니지,37.297218322753906,126.97135925292969,퓨전요리,52.0,4.57,http://t1.daumcdn.net/place/B2D519478AF943F1A893A25F64577173,경기도 수원시 장안구 율전동
47,키와마루아지 성균관대점,37.29696273803711,126.96871185302734,일본식라면,72.0,3.16,http://t1.daumcdn.net/localfiy/D615FA83E6AE4DB59E9DB943E1B49CF7,경기도 수원시 장안구 율전동
48,최고집 원조 수구레,37.29680252075195,126.9700698852539,한식,24.0,4.29,http://t1.kakaocdn.net/mystore/AC537BA0B7554CE59DDDE7E4354BE1B1,경기도 수원시 장안구 율전동
49,고기굽는교실 율전3반,37.29804992675781,126.96932220458984,"육류,고기",50.0,4.54,http://t1.kakaocdn.net/mystore/638ADC08F77645BF83B7E41E6F895360,경기도 수원시 장안구 율전동
50,보영만두 성대직영점,37.29836654663086,126.9704818725586,분식,45.0,3.55,http://t1.daumcdn.net/place/A03B56ECF77C4AD5BBDE8BC4489CF991,경기도 수원시 장안구 율전동
51,양지촌,37.2984733581543,126.97232055664062,양꼬치,11.0,4.54,http://t1.daumcdn.net/place/5EB3AC21CB7C41CE9B3D68534FC0BE99,경기도 수원시 장안구 율전동
52,정성식탁,37.298763275146484,126.9728012084961,양식,,,http://t1.kakaocdn.net/mystore/C05B312F762A4BB287FFEE2865E50513,경기도 수원시 장안구 율전동
53,드럼통돌구이,37.29899978637695,126.96973419189453,닭요리,20.0,4.25,http://t1.daumcdn.net/cfile/240F5B4855D3658001,경기도 수원시 장안구 율전동
54,도레미파스타,37.297237396240234,126.97230529785156,이탈리안,25.0,4.6,http://t1.daumcdn.net/local/kakaomapPhoto/review/e988b3be9ba50988c2236a12c5e933efeaba23f7?original,경기도 수원시 장안구 율전동
55,휘미관,37.296852111816406,126.96847534179688,한식,17.0,4.11,http://t1.daumcdn.net/place/AEFD73B557F54B5EB6A4D12B171735C9,경기도 수원시 장안구 율전동
56,버거스올마이티 수원성균관대점,37.29766845703125,126.96871185302734,햄버거,8.0,5.0,http://t1.daumcdn.net/place/76A72039D9A4495BA40F3058EDA19CAB,경기도 수원시 장안구 율전동
57,참바른김밥,37.29805374145508,126.97256469726562,분식,25.0,4.36,http://t1.daumcdn.net/place/E9DE0C56DE4C481EA2BE0A11DE614CE4,경기도 수원시 장안구 율전동
